,S_SUM,H_TDH_I_L1_N,C_phi_L1,P_L2,P_L1,P_L3,C_phi_L2,Q_SUM,P_SUM,Q_L2,Q_L3,Q_L1,I_L1,I_L2,I_L3,H_TDH_I_L2_N,S_L3,S_L2,S_L1
2022-06-28T14:42:00Z,0.8209114165846898,0.38639496311705107,0.9883818824717949,0.7949726141686773,0.8264543468813869,0.7691060233126072,0.9916275954454116,0.744118925573477,0.8117410694339182,0.5275606155440926,0.786890573388617,0.7398231304514832,0.8282991066257888,0.7994773699940039,0.7921647064842703,0.4200259012986481,0.7896669766464297,0.8041368931420514,0.8356633276343292
2022-06-28T14:43:00Z,0.8201288875892553,0.3814604065791844,0.9895605320761057,0.792221501937116,0.8297546776788878,0.7707945507451769,0.9929671801741461,0.7289630806828271,0.8125133498117895,0.5098320502120585,0.7872658363737308,0.7145685385843121,0.83010319020579,0.795743393261257,0.7941992351131658,0.41915228700959434,0.7907652241441724,0.7998937052771904,0.8364620901981321
2022-06-28T14:44:00Z,0.8195765231695515,0.3826284087064966,0.9917494527698252,0.7797756613668678,0.8355668054651022,0.770814803094949,0.9931346282652377,0.7270857913338713,0.8103131940655304,0.49768155397909447,0.8233937200854031,0.6839947891076246,0.8331867004063026,0.7852907931413325,0.7982978709797073,0.4276905016627679,0.7950920888841709,0.7900949718824677,0.8402167543579192
2022-06-28T14:45:00Z,0.8216260487535816,0.3815950465938602,0.9915810742549237,0.7800746261172796,0.8386138674352263,0.7734701375170302,0.9933020763563295,0.7290990718480558,0.812353717214649,0.4990035983638122,0.8303639210685305,0.6811683760748171,0.8357233094195101,0.7861533940454398,0.8014667792252641,0.4285607033960051,0.798030786957626,0.7907157195838235,0.8427167042111213
2022-06-28T14:46:00Z,0.8197650397033861,0.3827445357191544,0.9915810742549237,0.7793022133375627,0.833343334993826,0.7744379003030557,0.9924648359008704,0.7264566149413626,0.8105894118026937,0.5102777131163366,0.8182054263385705,0.6758305768666927,0.8309875900220068,0.786118541483658,0.8006265868523884,0.4284958648354893,0.7973641980007478,0.7906624648754973,0.837998211281982
2022-06-28T14:47:00Z,0.8210890925143522,0.3880443032968291,0.9892237750463034,0.7844197155333709,0.8352082730820752,0.7685422651770054,0.9929671801741461,0.7363551768750128,0.8110066249050322,0.49987934861603134,0.8227099248599113,0.7079504038285876,0.8351480276656834,0.7904679827733294,0.7954751123987127,0.42899068542889834,0.792741580688137,0.794992633658126,0.8421240250914278
2022-06-28T14:48:00Z,0.8220951617056244,0.3891769624202889,0.9856878262333717,0.7951486019005617,0.8323172261573827,0.7627132836874313,0.9926322839919625,0.7437066581297096,0.8117017148378654,0.4972004633909486,0.8026406605991451,0.7509340079917369,0.8364711756994855,0.8005395810246814,0.788560912747901,0.4274482101997881,0.7857874295844544,0.8043357308819709,0.8426948491401589
2022-06-28T14:49:00Z,0.8204624221610404,0.387990447290959,0.9861929617780762,0.7972209064213934,0.832448524192137,0.7584833309520579,0.9939718687206969,0.7270097324916084,0.8110410911905963,0.4705167579809299,0.7848079735472518,0.748334672840165,0.8388175582127606,0.8028382658949463,0.7863009471550175,0.4231688652057516,0.7811160238036094,0.8043333546265757,0.8424918419077322
2022-06-28T14:50:00Z,0.8370573359220042,0.3766116830506736,0.9865297188078794,0.8179553921260428,0.8543833564416329,0.7738737320028082,0.9948091091761556,0.7272006625163705,0.8307892803704231,0.4536746422194501,0.7907382028720327,0.7585000584881993,0.8584868248972741,0.8212293290644227,0.8005842174939085,0.4131649578293414,0.7941544917931431,0.8218552404289726,0.860996138737147
2022-06-28T14:51:00Z,0.8924738775933295,0.35987088022592584,0.9870348543525835,0.8821337487466879,0.9173291312943281,0.8328089202727644,0.9946416610850638,0.7601435685307524,0.8939640708452304,0.47165210083877124,0.8230750093129965,0.798798258842372,0.9127151841400192,0.8753997153179383,0.8501475732750076,0.391885966034832,0.8454913470192902,0.8780784035530595,0.91743243196054
